type	creator	version	update	ID	sex	birthYear	birthPlace	birthRegion	language	firstLang	homeLang	workLang	resPlace	resRegion	eduPlace	eduRegion	eduSize	education	eduLevel	occupation	occLevel	notes
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00002	sex1	1961	NL-65-	regN2c	SD	SD	SD	SD	NL-65-	regN2c	NL-65-	regN2c	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00003	sex1	1977	NL-661	regN2c	SD	SD	SD	SD	NL-661	regN2c	NL-65-	regN2c	size1	hbo	edu1	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00005	sex1	1972	NL-525	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-547	regN4a	size5	vwo	edu1	student	occ6	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00006	sex2	1953	NL-664	regN2c	SD	SD	SD	SD	NL-662	regN2c	NL-65-	regN2c	size1	hbo	edu1	ecologist	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00008	sex1	1972	CM	regZ	SD	unknown	unknown	SD	NL-80-	regN3b	NL-543	regN4a	size4	hbo	edu1	student	occ6	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00011	sex1	1967	NL-65-	regN2c	SD	SD	SD	SD	NL-658	regN2c	NL-65-	regN2c	size1	universiteit	edu1	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00013	sex1	1958	NL-534	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-534	regN4a	size2	universiteit	edu1	journalist	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00014	sex1	1962	NL-554	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-555	regN4a	size3	vwo	edu1	unemployed	occ5	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00015	sex1	1971	NL-788	regN3c	SD	SD	SD	SD	NL-65-	regN2c	NL-410	regN2c	size3	universiteit	edu1	bank employee	occ3	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00019	sex1	1953	NL-25-	regN1a	SD	SD	SD	SD	NL-65-	regN2c	xxx	regNx	sizeX	universiteit	edu1	journalist	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00022	sex2	1954	NL-990	regN3d	SD	SD	SD	SD	NL-660	regN2c	NL-23-	regN1a	size1	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00023	sex1	1973	NL-226	regN1a	SD	SD	SD	SD	NL-661	regN2c	NL-665	regN2c	size4	havo	edu2	IT consultant	occ3	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00024	sex1	1963	NL-30-	regN1a	SD	SD	SD	SD	NL-65-	regN2c	NL-50-	regN4a	size1	hbo	edu1	journalist	occ2	none
